state	year	pos
NY	1920	1
PA	1920	2
IL	1920	3
OH	1920	4
TX	1920	5
MA	1920	6
MI	1920	7
CA	1920	8
MO	1920	9
NJ	1920	10
IN	1920	11
GA	1920	12
WI	1920	13
NC	1920	14
KY	1920	15
IA	1920	16
MN	1920	17
AL	1920	18
TN	1920	19
VA	1920	20
OK	1920	21
LA	1920	22
MS	1920	23
KS	1920	24
AR	1920	25
SC	1920	26
WV	1920	27
MD	1920	28
CT	1920	29
WA	1920	30
PR	1920	31
NE	1920	32
FL	1920	33
CO	1920	34
OR	1920	35
ME	1920	36
ND	1920	37
SD	1920	38
RI	1920	39
MT	1920	40
UT	1920	41
NH	1920	42
DC	1920	43
ID	1920	44
NM	1920	45
VT	1920	46
AZ	1920	47
HI	1920	48
DE	1920	49
WY	1920	50
NV	1920	51
AK	1920	52
NY	1930	1
PA	1930	2
IL	1930	3
OH	1930	4
TX	1930	5
CA	1930	6
MI	1930	7
MA	1930	8
NJ	1930	9
MO	1930	10
IN	1930	11
NC	1930	12
WI	1930	13
GA	1930	14
AL	1930	15
TN	1930	16
KY	1930	17
MN	1930	18
IA	1930	19
VA	1930	20
OK	1930	21
LA	1930	22
MS	1930	23
KS	1930	24
AR	1930	25
SC	1930	26
WV	1930	27
MD	1930	28
CT	1930	29
WA	1930	30
PR	1930	31
FL	1930	32
NE	1930	33
CO	1930	34
OR	1930	35
ME	1930	36
SD	1930	37
RI	1930	38
ND	1930	39
MT	1930	40
UT	1930	41
DC	1930	42
NH	1930	43
ID	1930	44
AZ	1930	45
NM	1930	46
HI	1930	47
VT	1930	48
DE	1930	49
WY	1930	50
NV	1930	51
AK	1930	52
NY	1940	1
PA	1940	2
IL	1940	3
OH	1940	4
CA	1940	5
TX	1940	6
MI	1940	7
MA	1940	8
NJ	1940	9
MO	1940	10
NC	1940	11
IN	1940	12
WI	1940	13
GA	1940	14
TN	1940	15
KY	1940	16
AL	1940	17
MN	1940	18
VA	1940	19
IA	1940	20
LA	1940	21
OK	1940	22
MS	1940	23
AR	1940	24
WV	1940	25
SC	1940	26
FL	1940	27
PR	1940	28
MD	1940	29
KS	1940	30
WA	1940	31
CT	1940	32
NE	1940	33
CO	1940	34
OR	1940	35
ME	1940	36
RI	1940	37
DC	1940	38
SD	1940	39
ND	1940	40
MT	1940	41
UT	1940	42
NM	1940	43
ID	1940	44
AZ	1940	45
NH	1940	46
HI	1940	47
VT	1940	48
DE	1940	49
WY	1940	50
NV	1940	51
AK	1940	52
NY	1950	1
CA	1950	2
PA	1950	3
IL	1950	4
OH	1950	5
TX	1950	6
MI	1950	7
NJ	1950	8
MA	1950	9
NC	1950	10
MO	1950	11
IN	1950	12
GA	1950	13
WI	1950	14
VA	1950	15
TN	1950	16
AL	1950	17
MN	1950	18
KY	1950	19
FL	1950	20
LA	1950	21
IA	1950	22
WA	1950	23
MD	1950	24
OK	1950	25
PR	1950	26
MS	1950	27
SC	1950	28
CT	1950	29
WV	1950	30
AR	1950	31
KS	1950	32
OR	1950	33
NE	1950	34
CO	1950	35
